c, tiempoTotal
1, 3904962
2, 9760873
3, 7375343
4, 5766543
5, 11497477
6, 7999572
7, 8457903
8, 9338574
9, 11925337
10, 14678121
11, 13643225
12, 10626575
13, 14487214
14, 14585407
15, 13226275
16, 10317042
17, 11124725
18, 9859225
19, 13825323
20, 13705486
21, 15241010
22, 14926093
23, 15854900
24, 16503828
25, 15676340
26, 16010356
27, 15421032
28, 14439516
29, 16413676
30, 15258511
31, 17082983
32, 16691886
33, 14906839
34, 17521492
35, 17366465
36, 16554911
37, 15507435
38, 14808915
39, 15762351
40, 18562951
41, 15454398
42, 15906823
43, 13428664
44, 12891187
45, 13765362
46, 14641975
47, 13267665
48, 13554505
49, 13230281
50, 13382712
51, 13154650
52, 13962538
53, 13962688
54, 15098052
55, 13903880
56, 13997324
57, 13364803
58, 13900763
59, 14150681
60, 13828563
61, 14828470
62, 14576664
63, 13514282
64, 14522959
65, 13032613
66, 14520678
67, 14329445
68, 13865382
69, 13665099
70, 14864570
71, 14641077
72, 14162974
73, 14720855
74, 14647773
75, 13406084
76, 15006550
77, 15623555
78, 15165593
79, 15703480
80, 15333276
81, 14835946
82, 15905489
83, 14621603
84, 13717111
85, 15235502
86, 14510671
87, 15359808
88, 15658817
89, 14546328
90, 15090126
91, 15121210
92, 14440222
93, 14998160
94, 15959629
95, 14359232
96, 17311853
97, 15506091
98, 14926840
99, 15074700
100, 14913536
101, 18995040
102, 14712931
103, 16795918
104, 15777448
105, 15559298
106, 14748111
107, 14898365
108, 15553072
109, 15237702
110, 14581850
111, 15063792
112, 15078684
113, 15699556
114, 15379383
115, 15338993
116, 14937798
117, 15431367
118, 15854166
119, 14213470
120, 14861784
121, 15384051
122, 15413325
123, 15279755
124, 15508186
125, 15505128
126, 15476252
127, 15278884
128, 16238308
129, 15352577
130, 16539905
131, 18535575
132, 16087325
133, 16634615
134, 15864482
135, 16228830
136, 16175623
137, 14716921
138, 16701877
139, 15610474
140, 15960066
141, 15797762
142, 16265704
143, 16948370
144, 17282417
145, 16357866
146, 15322685
147, 16594239
148, 16589529
149, 16285752
150, 16614028
151, 16302636
152, 16318982
153, 16902608
154, 16492416
155, 16372119
156, 16852588
157, 16373734
158, 16002931
159, 16016025
160, 16717975
161, 17396077
162, 17078272
163, 17216434
164, 17367836
165, 16169813
166, 19394578
167, 23786721
168, 20991178
169, 17463148
170, 23300292
171, 22210779
172, 19989648
173, 16826093
174, 16921658
175, 16352302
176, 16696739
177, 16264898
178, 17276066
179, 17949441
180, 16420583
181, 17791672
182, 17353113
183, 16629546
184, 17397031
185, 16792253
186, 17254080
187, 16991897
188, 18403340
189, 16798822
190, 17768588
191, 17263328
192, 16538633
193, 22226807
194, 18289302
195, 18367258
196, 18128074
197, 17928910
198, 17349676
199, 17679050
200, 17145303
201, 16341923
202, 16905728
203, 17434766
204, 16592241
205, 16439947
206, 17060167
207, 15973357
208, 16617366
209, 16744621
210, 16532752
211, 16737199
212, 16825959
213, 16402627
214, 16424499
215, 16875861
216, 16998539
217, 16612984
218, 16648665
219, 16536108
220, 24577168
221, 17212797
222, 17905550
223, 18449901
224, 17970312
225, 16387537
226, 19088371
227, 17916142
228, 16926439
229, 17447461
230, 17050510
231, 17320306
232, 22116566
233, 19967597
234, 17764781
235, 17256447
236, 17025647
237, 17197812
238, 17281360
239, 17004695
240, 17604317
241, 17563235
242, 17106500
243, 17668733
244, 17576023
245, 18101039
246, 16408095
247, 17401018
248, 17546599
249, 16554581
250, 18010854
251, 18221381
252, 16742272
253, 16921549
254, 17303208
255, 17450494
256, 16543235
257, 17871008
258, 17275271
259, 18150250
260, 18080933
261, 16345403
262, 18487902
263, 17547878
264, 17460595
265, 18627467
266, 18058980
267, 16897186
268, 17313070
269, 17798561
270, 15804987
271, 17529495
272, 17989370
273, 17475194
274, 18498763
275, 18233617
276, 17909855
277, 19111289
278, 18564899
279, 17191004
280, 19801814
281, 18415467
282, 17745949
283, 17683109
284, 17082071
285, 17810387
286, 17077657
287, 17036560
288, 18207132
289, 17341553
290, 16117398
291, 17905320
292, 16297343
293, 18145324
294, 17259930
295, 16373370
296, 17338157
297, 17035471
298, 17275867
299, 17532289
300, 17994962
301, 17916203
302, 18432590
303, 16966393
304, 18627635
305, 18496587
306, 17257984
307, 17580153
308, 18999455
309, 18944562
310, 17928009
311, 17256117
312, 17710350
313, 18475087
314, 18475962
315, 17615168
316, 17159044
317, 17702507
318, 17786723
319, 17561669
320, 17239397
321, 18955844
322, 18200288
323, 18580294
324, 17098596
325, 17431941
326, 17648071
327, 17493917
328, 17165871
329, 19067867
330, 18593943
331, 18088040
332, 18086895
333, 19146193
334, 17416768
335, 18134349
336, 17295234
337, 17904094
338, 19054343
339, 18222073
340, 18297251
341, 17248293
342, 18629955
343, 17796449
344, 20176421
345, 17902511
346, 17583557
347, 17994683
348, 17562089
349, 18749103
350, 18916648
351, 17794095
352, 17753537
353, 18348663
354, 18275297
355, 17768845
356, 17885361
357, 18378083
358, 17801135
359, 19610702
360, 17671186
361, 17857751
362, 19126110
363, 18462993
364, 18980184
365, 18740126
366, 17725320
367, 18345130
368, 17727129
369, 18332471
370, 18001150
371, 19107971
372, 17800223
373, 17740871
374, 18438543
375, 18159105
376, 18362222
377, 19016944
378, 17990813
379, 17587470
380, 18397131
381, 17641032
382, 17479468
383, 18165337
384, 18361145
385, 18277212
386, 18942032
387, 18701478
388, 18047110
389, 18803725
390, 17531370
391, 18368304
392, 18114665
393, 18498748
394, 18307978
395, 17780112
396, 17700173
397, 17417126
398, 18625121
399, 18458693
400, 18175575
401, 18438700
402, 18184178
403, 18370245
404, 18962738
405, 18560602
406, 18546384
407, 19052299
408, 18278137
409, 18632455
410, 19075967
411, 18525277
412, 18990945
413, 18509059
414, 18479385
415, 18507260
416, 18513523
417, 19227229
418, 18319957
419, 20078217
420, 18643467
421, 17859014
422, 18726432
423, 18593285
424, 17891000
425, 19240689
426, 17891280
427, 18289571
428, 18638295
429, 18539543
430, 18303385
431, 19747782
432, 18306464
433, 17939497
434, 18642534
435, 17964870
436, 18060312
437, 18369295
438, 17860280
439, 18613103
440, 18884859
441, 19127250
442, 18281329
443, 19224193
444, 18297870
445, 17742132
446, 19853811
447, 19015853
448, 18374415
449, 19544250
450, 18465943
451, 18613712
452, 19041001
