m, tiempoTotal
50, 1409277
51, 1413008
52, 1491158
53, 1495165
54, 1523534
55, 1489272
56, 2785419
57, 2084056
58, 2043453
59, 2211775
60, 2314263
61, 2078323
62, 1836356
63, 2313855
64, 2021493
65, 1619325
66, 1596228
67, 1637233
68, 1712997
69, 2886712
70, 2442191
71, 3411430
72, 2426387
73, 2976007
74, 2495393
75, 2396564
76, 4800449
77, 4983202
78, 3120801
79, 2835989
80, 2565573
81, 3268072
82, 2694807
83, 2199717
84, 2463956
85, 2936010
86, 2716091
87, 2775819
88, 5244241
89, 2945437
90, 3091044
91, 6523259
92, 3535591
93, 3697057
94, 2233279
95, 3213959
96, 3052031
97, 3140891
98, 3026007
99, 3169740
100, 3015579
101, 3157627
102, 3250788
103, 2883688
104, 3153834
105, 2369658
106, 2746919
107, 2756360
108, 2592226
109, 3362108
110, 3107450
111, 2948946
112, 3366772
113, 3482558
114, 3181438
115, 3637561
116, 3317651
117, 3308397
118, 2513241
119, 2908778
120, 2589504
121, 3184413
122, 3094197
123, 2827519
124, 2935622
125, 2529291
126, 2664937
127, 3009308
128, 3328388
129, 2728203
130, 3690878
131, 3759390
132, 3813621
133, 3822534
134, 3910322
135, 3676885
136, 3712934
137, 3798290
138, 3218343
139, 3370264
140, 2947964
141, 3145220
142, 2898848
143, 2995135
144, 3270272
145, 3427930
146, 3101907
147, 3776981
148, 3453628
149, 4439820
150, 4017592
151, 4305495
152, 4276614
153, 4142575
154, 4278311
155, 4288421
156, 3894041
157, 3030454
158, 3103919
159, 3642150
160, 3860683
161, 3252552
162, 3365729
163, 3538318
164, 3651653
165, 4203984
166, 4474716
167, 4563115
168, 3290345
169, 4086164
170, 3091022
171, 3067831
172, 3143555
173, 3105772
174, 5026110
175, 4592068
176, 4297372
177, 4482493
178, 4617488
179, 4479634
180, 4518069
181, 4590206
182, 4486618
183, 4826893
184, 3905055
185, 3336214
186, 3365758
187, 3283419
188, 3722035
189, 4829168
190, 4931147
191, 4898361
192, 4789237
193, 4742213
194, 4817446
195, 5000685
196, 4797445
197, 5381094
198, 4480644
199, 5327319
200, 5433916
201, 5215171
202, 4059378
203, 3718071
204, 4214093
205, 4910382
206, 5075316
207, 4117782
208, 5125224
209, 4769647
210, 4567458
211, 5101206
212, 5186508
213, 5185317
214, 4026553
215, 4109003
216, 3909453
217, 4023448
218, 3806956
219, 5171624
220, 5688562
221, 5018857
222, 5429624
223, 5518378
224, 5555545
225, 5652247
226, 5641485
227, 5936934
228, 6153137
229, 5759702
230, 5534156
231, 5983230
232, 4320006
233, 4725755
234, 4949734
235, 4934522
236, 4761491
237, 4196121
238, 4345776
239, 4767204
240, 5889525
241, 6018267
242, 6188380
243, 5994112
244, 6526816
245, 5026186
246, 5925647
247, 6362150
248, 6207313
249, 5743209
250, 5367427
251, 6286013
252, 5818574
253, 6107715
254, 6223361
255, 5875848
256, 4758184
257, 4716759
258, 4784499
259, 4954806
260, 5646451
261, 5656432
262, 5243161
263, 5803043
264, 6893943
265, 6357718
266, 6715060
267, 6249029
268, 5312989
269, 5840067
270, 5909064
271, 6509903
272, 5715288
273, 5078503
274, 6368180
275, 6892854
276, 7554345
277, 4908357
278, 4823278
279, 6853838
280, 7464631
281, 7252589
282, 7141925
283, 7567062
284, 6782924
285, 5036927
286, 4921661
287, 5000351
288, 5182628
289, 5110602
290, 5092698
291, 5469766
292, 5448149
293, 5528139
294, 5663556
295, 5898826
296, 6668752
297, 5508363
298, 5765917
299, 5337891
300, 4785979
301, 5782578
302, 6263053
303, 7694646
304, 7012118
305, 7099513
306, 7462135
307, 7992547
308, 5819220
309, 5374631
310, 5340293
311, 6284457
312, 5383645
313, 7848205
314, 6824153
315, 5374257
316, 5682271
317, 6159802
318, 8958778
319, 9409452
320, 7310492
321, 7039237
322, 7011414
323, 6188651
324, 7852101
325, 5876922
326, 7630903
327, 7824399
328, 8571406
329, 7651324
330, 7577681
331, 7907895
332, 8373015
333, 7216808
334, 7396614
335, 8183547
336, 7930032
337, 7644760
338, 7972829
339, 5366750
340, 6016393
341, 7261570
342, 7941354
343, 6489124
344, 7467221
345, 8314618
346, 8802068
347, 8300874
348, 6261822
349, 8026601
350, 6295648
351, 5837652
352, 8144775
353, 7729556
354, 8092485
355, 8263194
356, 8608339
357, 6729255
358, 6084999
359, 5979971
360, 5977507
361, 8444746
362, 8697159
363, 8569835
364, 8141069
365, 7286786
366, 6107121
367, 6551591
368, 5845841
369, 5933756
370, 6530883
371, 6139663
372, 6722477
373, 7835674
374, 7903378
375, 6491421
376, 6342889
377, 5752122
378, 6066267
379, 6554308
380, 8926814
381, 8453854
382, 8234733
383, 8628904
384, 8616829
385, 7126251
386, 6112598
387, 6052081
388, 7648855
389, 9366868
390, 9253540
391, 8865933
392, 9116179
393, 8082071
394, 6080198
395, 6064410
396, 6113601
397, 8326995
398, 8856127
399, 8918659
400, 9352647
401, 9008881
402, 6471587
403, 6598924
404, 6351990
405, 6498012
406, 8235861
407, 9024423
408, 9258697
409, 9147194
410, 9637468
411, 7106333
412, 6574101
413, 6438951
414, 6409530
415, 7276839
416, 7294779
417, 7886783
418, 6885513
419, 7126074
420, 6747095
421, 6785097
422, 6439961
423, 6454410
424, 6718375
425, 7302691
426, 9585513
427, 9875025
428, 9708870
429, 9173569
430, 7391940
431, 9310255
432, 7476401
433, 8704399
434, 9693198
435, 9370679
436, 9494473
437, 7619454
438, 6806346
439, 6828095
440, 7094735
441, 6978119
442, 8365758
443, 9795260
444, 10324190
445, 11009304
446, 8538392
447, 7237343
448, 7496138
449, 7697641
450, 10208831
451, 9929617
452, 7925205
453, 7587488
454, 7184142
455, 7279326
456, 7028211
457, 7285747
458, 7301062
459, 7516422
460, 7568484
461, 7932748
462, 7588382
463, 8884406
464, 10231793
465, 8177042
466, 7680534
467, 8067242
468, 8468681
469, 8715726
470, 9152114
471, 8515269
472, 7861566
473, 8275310
474, 7766283
475, 8774043
476, 7748991
477, 9264490
478, 8059378
479, 8656933
480, 8399618
481, 8024942
482, 8262438
483, 8387393
484, 8407834
485, 8443987
486, 9088878
487, 8516365
488, 8776921
489, 8709857
490, 8015534
491, 7676491
492, 8029758
493, 8728887
494, 8383402
495, 8023455
496, 8833043
497, 8657809
498, 8040961
499, 8333934
500, 10700301
501, 11959046
502, 9777589
503, 8256745
504, 8732999
505, 9201111
506, 8151239
507, 8115654
508, 9113843
509, 10480462
510, 11000506
511, 10855244
512, 9616998
513, 11687379
514, 11693606
515, 11341745
516, 10139110
517, 8790118
518, 11536742
519, 11423034
520, 12014734
521, 12086414
522, 12020149
523, 11607043
524, 8096841
525, 8406321
526, 8088018
527, 8365252
528, 8476477
529, 11775584
530, 12047318
531, 9882611
532, 8230118
533, 8411870
534, 10873302
535, 12344496
536, 11948321
537, 11901958
538, 11697199
539, 9212226
540, 8602336
541, 12549370
542, 12230045
543, 11322501
544, 9083000
545, 8666407
546, 8167445
547, 10485405
548, 12474674
549, 11514686
550, 10605099
551, 8303324
552, 9289961
553, 9874255
554, 8827531
555, 12908495
556, 11784100
557, 12835710
558, 8702921
559, 8544410
560, 8756697
561, 13702410
562, 10164793
563, 9610093
564, 11010884
565, 9196020
566, 8852835
567, 8444627
568, 9173460
569, 12000688
570, 12805744
571, 13229776
572, 9567601
573, 8803256
574, 9535393
575, 12605079
576, 13038155
577, 11186979
578, 9330981
579, 8987399
580, 9386429
581, 12321834
582, 12942453
583, 13413257
584, 9632141
585, 9450939
586, 11080427
587, 12467351
588, 11655662
589, 12483795
590, 12510754
591, 11162656
592, 10060609
593, 10053288
594, 10244058
595, 12807514
596, 13522588
597, 11539683
598, 12592194
599, 9895773
600, 10158023
601, 10593641
602, 12869279
603, 12017346
