n, tiempoTotal
10, 232369
11, 247239
12, 271524
13, 281420
14, 295912
15, 312319
16, 344761
17, 355498
18, 379350
19, 425863
20, 475331
21, 456143
22, 447650
23, 462509
24, 491815
25, 538709
26, 576966
27, 582773
28, 577989
29, 595068
30, 658477
31, 876392
32, 1129869
33, 1042794
34, 1085151
35, 951618
36, 930122
37, 1188837
38, 1232223
39, 1270977
40, 1276082
41, 1408846
42, 1473363
43, 1433925
44, 1498372
45, 1405764
46, 1602525
47, 1662945
48, 1752440
49, 1735982
50, 1654455
51, 1721006
52, 1690325
53, 2114639
54, 1814557
55, 1719996
56, 1916183
57, 1880156
58, 2087031
59, 2058472
60, 2198713
61, 2123306
62, 2018820
63, 2680389
64, 2944592
65, 3199144
66, 3009457
67, 3482279
68, 2854965
69, 2723589
70, 3119794
71, 3119234
72, 3029938
73, 3174321
74, 3239722
75, 3366099
76, 4955071
77, 4245854
78, 4129436
79, 4031110
80, 4045897
81, 4198752
82, 4651443
83, 4079496
84, 3788534
85, 4969209
86, 6571961
87, 5480851
88, 4749855
89, 4458869
90, 4600073
91, 4876565
92, 4572364
93, 5388620
94, 6303900
95, 6432106
96, 6120561
97, 4971208
98, 5209343
99, 5856824
100, 6065280
101, 7274437
102, 7990222
103, 6341220
104, 7099078
105, 7378418
106, 7309469
107, 6304804
108, 7657985
109, 7883649
110, 8326936
111, 8465003
112, 6570843
113, 6447787
114, 6344567
115, 7814389
116, 9032143
117, 8971196
118, 6845488
119, 6548697
120, 7123518
121, 10532974
122, 9971183
123, 9854765
124, 8904874
125, 9731598
126, 10175280
127, 10649090
128, 10815374
129, 10492005
130, 9868875
131, 12409029
132, 10742538
133, 10310619
134, 11659612
135, 11983205
136, 12489919
137, 12743234
138, 13844378
139, 13618882
140, 14197211
141, 13167716
142, 9540610
143, 12458665
144, 11198639
145, 9816548
146, 9563760
147, 10116884
148, 13300500
149, 10471573
150, 10178711
151, 12612845
152, 11962904
153, 10404938
154, 10966182
155, 12440476
156, 12313092
157, 11422066
158, 11528006
159, 14581862
160, 13471126
161, 11989108
162, 11846939
163, 13402608
164, 13978310
165, 12788427
166, 12881458
167, 16235361
168, 12856994
169, 13946650
170, 15391915
171, 12858944
172, 13988614
173, 16027478
174, 14286417
175, 17455079
176, 14418831
177, 14992731
178, 15572447
179, 15069422
180, 14922426
181, 16906832
182, 15382088
183, 15709862
184, 17484274
185, 15763175
186, 15955850
187, 18340427
188, 15945724
189, 16690349
190, 18245192
191, 16601056
192, 17689514
193, 19249321
194, 16895448
195, 17270410
196, 19514876
197, 18226550
198, 17776716
199, 20386841
200, 18858389
201, 17886917
202, 23114302
203, 19158742
204, 18742994
205, 21248709
206, 18585583
207, 18837670
208, 22228412
209, 19709370
210, 20427344
211, 20461514
212, 21011179
213, 20806734
214, 20792434
215, 20336370
216, 21329313
217, 21502556
218, 23098647
219, 21352922
220, 23007324
221, 22052407
222, 23148148
223, 27265061
224, 27702050
225, 23570000
226, 26191244
227, 33599225
228, 33886504
229, 30757456
230, 26643709
231, 24489996
232, 24991458
233, 26302271
234, 26142195
235, 25015282
236, 25591628
237, 25888731
238, 26013549
239, 25587517
240, 27572824
241, 27411030
242, 26609578
243, 26231570
244, 29118841
245, 26455945
246, 27775647
247, 27360052
248, 29499092
249, 27601373
250, 28896274
251, 27335539
252, 29287570
253, 28462415
254, 30087156
255, 29313888
256, 31185167
257, 28500928
258, 31210363
259, 29594566
260, 30993226
261, 30218502
262, 34432752
263, 32271189
264, 30969839
265, 33185510
266, 30061892
267, 33664340
268, 31400787
269, 33911246
270, 32994031
271, 33655752
272, 32504760
273, 32662312
274, 31956418
275, 35194067
276, 37128062
277, 38332781
278, 33727685
279, 36173473
280, 34396728
281, 36694191
282, 35369327
283, 36590647
284, 38342773
285, 36706419
286, 36387017
287, 39746886
288, 37541961
289, 38400076
290, 39019601
291, 40278958
292, 40334751
293, 39357479
294, 42340802
295, 40573818
296, 42929009
297, 40372339
298, 43413314
299, 39889689
300, 41307832
301, 40955025
302, 43024970
303, 57117412
304, 42936806
305, 40055379
306, 41159460
307, 42620501
308, 42375003
309, 42616784
310, 42924979
311, 44338802
312, 43973732
313, 46393344
314, 46368932
315, 45514793
316, 46282669
317, 45471031
318, 46868432
319, 46098077
320, 47370164
321, 46532872
322, 46155498
323, 46489019
324, 45886359
325, 47888891
326, 47885504
327, 49204710
328, 47756092
329, 49280678
330, 48778243
331, 49508391
332, 51011486
333, 49584493
334, 52738684
335, 58919905
336, 69277017
337, 51461846
338, 49381970
339, 49514420
340, 50758836
341, 51470392
342, 50565571
343, 53155918
344, 52660889
345, 54720124
346, 53030094
347, 51061465
348, 51723077
349, 55245424
350, 53529871
351, 54407542
352, 58956091
353, 61302356
354, 60558993
355, 57595395
356, 55602593
357, 56476337
358, 58251849
359, 57941245
360, 58463794
361, 58232250
362, 59907183
363, 59062350
364, 58419323
365, 57534670
366, 59900805
367, 59724589
368, 59739034
369, 59912122
370, 58738470
371, 62920439
372, 60245585
373, 62544707
374, 60308953
375, 64475585
376, 61049850
377, 60377098
378, 63411813
379, 63762347
380, 61879296
381, 68609535
382, 67130688
383, 64340625
384, 65548327
385, 66724630
386, 65268036
387, 65277307
388, 67753757
389, 65631372
390, 65061242
391, 69865398
392, 67181253
393, 71152682
394, 68019572
395, 65061377
396, 69119822
397, 68789890
398, 69125016
399, 68519787
400, 70047627
401, 74546626
402, 72107310
403, 71799565
404, 72072990
405, 71442202
406, 86671877
407, 80280523
408, 77835441
409, 75596905
410, 77133594
411, 71783495
412, 77026719
413, 78016754
414, 76263043
415, 74579565
416, 76899133
417, 80002252
418, 73784412
419, 77829872
420, 92163200
421, 76574979
422, 81760780
423, 82648700
424, 77618664
425, 82731474
426, 77817641
427, 81795977
428, 78137047
429, 81233803
430, 82550639
431, 81555515
432, 80070050
433, 82721938
434, 79906018
435, 85224845
436, 88209014
437, 80504925
438, 83850407
439, 85221930
440, 83300534
441, 84924679
442, 86255147
443, 86043239
444, 85386701
445, 88559524
446, 83229961
447, 89895555
448, 89635367
449, 90698829
450, 87140593
451, 97442646
452, 91326616
453, 108925084
454, 98750195
455, 96534477
456, 100980744
457, 91853508
458, 92599536
459, 94424498
460, 92839752
461, 94485062
462, 112208910
463, 102140488
464, 103835601
465, 102248410
466, 110177584
467, 98166475
468, 101209955
469, 97709217
470, 94765011
471, 98969094
472, 100333822
473, 97848632
474, 96212723
475, 97204962
476, 106155382
477, 97383735
478, 110752724
479, 103419680
480, 108269210
481, 101217084
482, 104829729
483, 103278335
484, 98130824
485, 115371932
486, 102347031
487, 101099282
488, 102959176
489, 107220292
490, 108841680
491, 106764775
492, 119140474
493, 111694852
494, 111586863
495, 110606556
496, 109662521
497, 109919144
498, 112402710
499, 111616081
500, 109008803
501, 116051790
502, 115750934
503, 116620726
504, 118083947
505, 136105520
506, 127118010
507, 109922176
508, 132615416
509, 122368091
510, 125430917
511, 129377455
512, 122322143
513, 134956341
514, 138332846
515, 125711638
516, 118875770
517, 118488080
518, 126423477
519, 141192943
520, 124677955
521, 121276607
522, 151956319
523, 137590130
524, 124920096
525, 122023420
526, 133855645
527, 132483962
528, 137549688
529, 128495303
530, 129188854
531, 131456145
532, 141223643
533, 124866787
534, 122831693
535, 124678667
536, 126929883
537, 124754376
538, 128311374
539, 129606575
540, 137560751
541, 127446834
542, 129663410
543, 129231746
544, 127176534
545, 127622559
546, 129883888
547, 137175775
548, 145437145
549, 144440336
550, 146895377
551, 134833360
552, 136036046
553, 143647867
554, 135099696
555, 138249699
556, 136468969
557, 141117668
558, 133973431
559, 142293465
560, 147099860
561, 146136136
562, 142797505
563, 138425552
564, 139575365
565, 151906498
566, 154592777
567, 155021914
568, 150986157
569, 154814442
570, 152563463
571, 151309897
572, 166126763
573, 158682428
574, 151794988
575, 148605332
576, 141350288
577, 146807167
578, 146802409
579, 146804810
580, 155237571
581, 160768464
582, 160504601
583, 152855255
584, 161810036
585, 158369593
586, 161797000
587, 167660733
588, 162828756
589, 147421182
590, 152763620
591, 160373667
592, 159377169
593, 159319296
594, 155995246
595, 158146950
596, 163960324
597, 153543431
598, 157560005
599, 163856201
600, 162265564
601, 151956921
602, 159542645
603, 162532095
604, 165496594
605, 162777382
606, 158261895
607, 164271477
608, 163253744
609, 162531794
610, 173571695
611, 166900769
612, 169296392
613, 165625303
614, 165220140
615, 160170917
616, 173651064
617, 178202171
618, 162385250
619, 159105943
620, 164271399
621, 175727589
622, 167129824
623, 170670447
624, 171336811
625, 163769873
626, 179222818
627, 163733720
628, 169934462
629, 167748481
630, 171302218
631, 171499086
632, 169372254
633, 177922208
634, 172934157
635, 174525278
636, 168641189
637, 174240337
638, 164271067
639, 178386994
640, 172088290
641, 177363564
642, 177317778
643, 176838426
644, 171683470
645, 185049684
646, 176955701
647, 177564870
648, 180569523
649, 185282837
650, 185546056
651, 182544420
652, 177238165
653, 177465192
654, 183694951
655, 179475200
656, 180889315
657, 189555623
658, 187650716
659, 190929199
660, 191246005
661, 202142754
662, 220793940
663, 185238146
664, 191455082
665, 197373878
666, 200393698
667, 195714586
668, 195506121
669, 190179693
670, 197580634
671, 186733579
672, 187616456
673, 190648753
674, 197682496
675, 204293496
676, 195361992
677, 200371087
678, 198070827
679, 202633106
680, 209203405
681, 201987230
682, 213796121
683, 205281440
684, 229891163
685, 224010147
686, 208259570
687, 209655665
688, 221261000
689, 214005960
690, 208920738
691, 235628424
692, 233206407
693, 225267801
694, 235855809
695, 228755101
696, 232811247
697, 215377061
698, 212501589
