cant_ejes, ns_rutas_completas, ns_rutas_vacias, ns_rutas_esparso_conexo, ns_rutas_esparso_disconexo, ns_rutas_denso_conexo, ns_rutas_denso_disconexo
3, 15109, 13161, 12260, 12340, 10934, 10745
4, 18513, 19096, 20259, 20242, 20091, 23546
5, 25926, 23830, 25166, 24425, 28358, 25901
6, 32842, 32804, 31192, 30337, 33519, 36024
7, 47523, 39249, 49199, 38813, 46590, 49289
8, 63149, 48312, 50708, 49158, 58302, 55832
9, 78487, 59447, 62883, 62028, 74124, 85009
10, 84284, 75011, 75005, 81518, 84359, 95588
11, 114197, 90523, 97204, 84448, 100826, 95811
12, 130247, 114882, 110839, 108813, 123487, 133510
13, 151885, 117559, 125032, 110552, 143293, 141648
14, 183447, 150974, 170673, 118187, 189117, 178468
15, 191086, 193268, 167568, 148669, 202532, 208375
16, 230066, 224609, 211090, 207802, 264420, 244803
17, 290928, 235203, 223133, 222825, 281324, 261841
18, 295962, 228604, 241625, 312163, 249293, 308734
19, 385266, 273003, 225277, 253495, 318229, 285187
20, 420176, 394646, 301843, 225683, 342848, 382659
21, 384356, 372527, 294318, 301941, 401165, 377724
22, 467103, 403543, 396645, 323385, 427804, 483534
23, 460606, 457728, 382173, 342659, 519994, 529115
24, 542626, 555261, 483915, 371078, 496230, 531801
25, 632575, 487439, 601581, 448299, 589256, 609845
26, 720005, 578490, 562307, 534066, 825475, 636652
27, 747257, 633856, 674922, 536209, 787483, 647211
28, 746051, 664636, 640455, 610362, 894280, 781946
29, 769671, 775363, 675715, 634716, 845139, 861882
30, 1088255, 782655, 890112, 653516, 921207, 916707
31, 1054147, 852580, 911578, 785632, 1087515, 881952
32, 971451, 836084, 862630, 770111, 959529, 1007144
33, 1242100, 1048485, 1168720, 864035, 1168636, 1196509
34, 1316449, 1113280, 1121195, 883516, 1521407, 1255213
35, 1246918, 1157645, 1086982, 876810, 1405616, 1567886
36, 1439327, 1471848, 1280536, 1127629, 1338026, 1477108
37, 1380034, 1324080, 1350730, 976357, 1444366, 1695852
38, 1285249, 1330749, 1334859, 1127207, 1524928, 1399920
39, 1659088, 1240620, 1167611, 1449489, 1638813, 1463216
40, 1857221, 1441126, 1479707, 1471165, 1602013, 1644241
41, 2119802, 2177000, 1409441, 1338269, 1837743, 1965618
42, 1980194, 2058291, 1414226, 1310411, 2703984, 2334771
43, 2203325, 1926727, 1805376, 1450447, 1734173, 2187140
44, 2473152, 1998298, 1934916, 1607381, 2141950, 3462684
45, 2302681, 1976610, 1726301, 1852117, 2110285, 3375707
46, 2249986, 1853019, 1878707, 1375577, 2231504, 2465698
47, 2512381, 1864661, 2095367, 1531486, 2915249, 2387450
48, 2821450, 2561010, 2171030, 1883627, 2658207, 2804953
49, 2601355, 2492595, 2130238, 1814964, 2528900, 2608670
50, 3515581, 3117431, 2657723, 2132397, 3068324, 2643282
51, 3629142, 2347255, 2661948, 2675726, 2872151, 3216427
52, 3418022, 2968037, 2813607, 2972191, 3399788, 3486422
53, 3488682, 2953776, 3032145, 2848924, 3090075, 3237597
54, 3242694, 2646974, 2868324, 2480452, 2778341, 3561860
55, 4824492, 2636469, 2534073, 2433163, 3580175, 3134594
56, 3206627, 3398291, 3447978, 2978111, 3517362, 3477986
57, 3783018, 3750059, 3662313, 2976447, 3445405, 4248788
58, 3895475, 2898981, 3065727, 3179310, 3538027, 3830837
59, 3703484, 3521447, 3120933, 3371400, 5188109, 3760746
60, 4797234, 3622288, 4359422, 3108868, 4763240, 4456293
61, 4176772, 4172505, 4386799, 3773297, 5683587, 3590885
62, 4838555, 4060496, 4218611, 3605978, 4319139, 4653699
63, 4290057, 3742082, 3442728, 3555732, 3912370, 4722160
64, 5749795, 3717575, 4013702, 2739081, 3953926, 4845496
65, 4611814, 4849740, 5500252, 5605303, 4400709, 3867720
66, 5525082, 4545900, 4709315, 4980586, 14619282, 4930573
67, 6505636, 4766264, 4909415, 3891752, 6004046, 5400601
68, 5615876, 4451815, 4484746, 3899093, 5887588, 5991558
69, 5659478, 5512140, 4719527, 5073852, 5358357, 5589241
70, 6190758, 6665414, 5002501, 4360399, 5034576, 4942021
