m, tiempoTotal
50, 1834104
51, 1848620
52, 3146290
53, 1888597
54, 2081496
55, 2062216
56, 2223803
57, 1970817
58, 1566062
59, 2115356
60, 1547338
61, 1598225
62, 1745417
63, 1589826
64, 1632353
65, 1630308
66, 2977613
67, 2517432
68, 2710698
69, 2390265
70, 1721268
71, 1685803
72, 1670155
73, 1732730
74, 1718921
75, 1752255
76, 1730376
77, 1849817
78, 1794769
79, 2484160
80, 2491751
81, 2680733
82, 2340927
83, 1959168
84, 1950760
85, 1922652
86, 2199433
87, 2507167
88, 2711527
89, 2102889
90, 1957431
91, 1970963
92, 2175427
93, 2320010
94, 3001233
95, 2949634
96, 2459030
97, 2330636
98, 2426029
99, 3029756
100, 3421238
101, 2622899
102, 2360122
103, 2915884
104, 2704846
105, 3052658
106, 3281371
107, 3347243
108, 3469839
109, 2924603
110, 2883092
111, 3170410
112, 3304572
113, 3237842
114, 2969711
115, 3160863
116, 3247623
117, 3186510
118, 3161719
119, 2744015
120, 2358049
121, 2474635
122, 2544251
123, 2990101
124, 3410379
125, 3476169
126, 3371493
127, 3467734
128, 3493405
129, 3537534
130, 3496842
131, 3163679
132, 2575548
133, 2639466
134, 2623585
135, 2575121
136, 3120193
137, 3763521
138, 3830361
139, 3740414
140, 3852425
141, 3907306
142, 4002151
143, 2995857
144, 2889865
145, 2746498
146, 2928206
147, 3330531
148, 3201337
149, 3126663
150, 3048260
151, 3403991
152, 3298826
153, 3314226
154, 3304368
155, 3341557
156, 3366869
157, 2952295
158, 3006511
159, 3166448
160, 2949271
161, 3445803
162, 3496068
163, 3536326
164, 3451989
165, 3460002
166, 3557592
167, 3645417
168, 4880793
169, 4500478
170, 4681054
171, 4583340
172, 3716640
173, 3817634
174, 3821650
175, 3513597
176, 5060064
177, 3828363
178, 3722627
179, 3222161
180, 3308537
181, 3607530
182, 3367509
183, 3487625
184, 3654342
185, 3682627
186, 3635214
187, 3645467
188, 3881568
189, 5042895
190, 4873825
191, 5171520
192, 4627602
193, 3932628
194, 3908535
195, 3995788
196, 4222903
197, 4739111
198, 5287147
199, 5195296
200, 5275347
201, 3991476
202, 4511818
203, 4347457
204, 4443225
205, 4235324
206, 4194714
207, 3984806
208, 3780242
209, 3870867
210, 3667026
211, 3734771
212, 4013199
213, 3934425
214, 3818059
215, 4052267
216, 4570156
217, 4250297
218, 4485289
219, 5867009
220, 5115109
221, 4443134
222, 4425489
223, 4278064
224, 4445564
225, 4429191
226, 4152007
227, 4099906
228, 4119680
229, 4366731
230, 4212685
231, 4615568
232, 4133161
233, 4505805
234, 4735335
235, 4919789
236, 5290345
237, 5820111
238, 6028723
239, 5956885
240, 4766313
241, 5241334
242, 5203302
243, 5199292
244, 6193522
245, 5940757
246, 6179310
247, 5510122
248, 4777004
249, 5013149
250, 6002371
251, 4621638
252, 4184684
253, 4351617
254, 4421043
255, 4401846
256, 4576048
257, 4829572
258, 4748413
259, 4868747
260, 4803280
261, 5784966
