n, tiempoTotal
10, 243945
11, 247631
12, 258166
13, 269696
14, 296517
15, 316492
16, 337768
17, 338877
18, 370228
19, 386079
20, 386452
21, 424824
22, 456351
23, 472789
24, 491216
25, 533053
26, 525742
27, 562738
28, 663726
29, 897322
30, 732831
31, 671927
32, 670865
33, 686364
34, 708414
35, 769836
36, 789303
37, 787833
38, 796367
39, 854290
40, 952418
41, 988179
42, 966401
43, 958644
44, 967648
45, 1049385
46, 1020142
47, 1109132
48, 1188918
49, 1208073
50, 1240583
51, 1232307
52, 1319371
53, 1422554
54, 1439202
55, 1446714
56, 1538284
57, 1610666
58, 1638098
59, 1635958
60, 1685728
61, 1823686
62, 1828029
63, 2106894
64, 1978954
65, 1974972
66, 2101857
67, 2155638
68, 2074932
69, 2347954
70, 2342045
71, 2513809
72, 2513511
73, 2435405
74, 2515307
75, 2758889
76, 2694686
77, 2793382
78, 2848815
79, 2926646
80, 3042569
81, 3164009
82, 3245444
83, 3315229
84, 3344416
85, 3524432
86, 3391121
87, 3687440
88, 3649256
89, 3664252
90, 3795761
91, 3824843
92, 3966663
93, 3865705
94, 4281395
95, 4196526
96, 4202758
97, 4302658
98, 4247714
99, 4559224
100, 4607787
101, 4728073
102, 4787731
103, 5027370
104, 4962597
105, 4990215
106, 5179555
107, 5257738
108, 5171296
109, 5233187
110, 5640724
111, 5462142
112, 5668736
113, 5831889
114, 5818649
115, 6182469
116, 6159713
117, 6493790
118, 6443981
119, 6354462
120, 6524922
121, 6527046
122, 6413901
123, 6673301
124, 7096204
125, 7161174
126, 6885105
127, 7169138
128, 7466458
129, 7545348
130, 7796858
131, 7498188
