cant_ejes, ns_rutas_completas, ns_rutas_vacias, ns_rutas_esparso_conexo, ns_rutas_esparso_disconexo, ns_rutas_denso_conexo, ns_rutas_denso_disconexo
3, 11862, 11658, 10517, 10500, 9211, 9540
4, 15562, 14805, 16421, 16817, 16608, 17005
5, 21095, 19682, 20100, 21161, 21633, 21478
6, 29790, 25849, 26905, 25778, 29160, 28704
7, 40552, 33076, 33729, 32538, 40344, 41961
8, 50552, 61951, 42502, 41513, 48781, 50137
9, 59568, 60687, 51115, 49075, 60935, 60284
10, 72857, 57501, 62219, 50640, 70766, 74232
11, 91431, 101024, 79132, 69238, 89086, 98352
12, 108705, 86789, 98036, 85408, 101574, 110219
13, 126692, 102040, 82670, 91122, 123635, 113300
14, 128289, 113343, 123450, 109344, 152144, 139960
15, 162014, 144457, 138504, 127848, 167893, 171810
16, 190187, 173778, 168926, 130641, 192093, 188599
17, 241700, 184162, 178122, 147696, 217600, 270498
18, 243831, 224219, 187049, 200660, 257637, 273490
19, 268915, 456623, 223182, 218581, 1074751, 299192
20, 304994, 292282, 213156, 256444, 285806, 299076
21, 314519, 297550, 291382, 268523, 1441397, 333667
22, 394359, 365260, 418231, 309159, 364208, 353214
23, 441040, 339517, 386812, 253608, 471794, 444693
24, 542944, 378199, 381455, 298801, 419648, 441676
25, 554087, 506971, 392241, 354176, 533686, 577178
26, 362526, 315640, 308804, 295319, 349555, 425291
27, 438334, 306568, 291213, 260390, 385115, 360226
28, 406622, 387331, 404506, 311518, 395668, 362984
29, 415308, 469243, 339413, 343312, 485704, 434182
30, 416597, 402359, 412133, 335267, 478841, 467185
31, 720149, 677866, 668848, 549098, 1011196, 776562
32, 944502, 814264, 812116, 695934, 1013058, 1034589
33, 1797295, 909285, 751754, 760614, 1035937, 931387
34, 965018, 970691, 831391, 884529, 1099907, 1086017
35, 1050774, 861825, 1068977, 744048, 1093256, 978083
36, 1195058, 1060075, 1060488, 895961, 1130301, 1116009
37, 1396367, 1065790, 1028362, 778032, 1252116, 1204815
38, 972606, 835151, 701196, 636409, 805931, 791995
39, 807920, 709094, 685542, 627111, 798544, 913216
40, 1154575, 1082546, 1050515, 953110, 1281510, 1308133
41, 1498739, 1222844, 1307599, 1027852, 1541860, 1468109
42, 1345497, 1264134, 992823, 751487, 1158798, 1136882
43, 1497544, 1203967, 1126361, 1139020, 1228344, 1465582
44, 1574037, 1336611, 1383404, 1101213, 1657103, 1683191
45, 2042062, 1523371, 1642861, 1397720, 1617422, 1855498
46, 1724132, 1283183, 1526613, 1236754, 1587101, 1689891
47, 1591462, 1920886, 1757997, 1358646, 1889072, 1902867
48, 1910717, 2080329, 2181778, 1673018, 1835560, 2266438
49, 1787020, 1945651, 1462870, 1275648, 1537141, 1740186
50, 2190971, 2163181, 2041897, 1684786, 2014355, 2218969
51, 3194161, 2201910, 1731340, 1776219, 2363848, 2012895
52, 1769750, 1574752, 1543373, 1111142, 1766144, 1953114
53, 2149059, 1787900, 1533289, 1266441, 1690196, 1945721
54, 1594306, 1610259, 1519284, 1510222, 1893742, 1591776
55, 2654766, 2257700, 2035555, 1781846, 2775368, 2719311
56, 2657961, 2972551, 2452889, 2384176, 2849420, 2925007
57, 3324993, 3439888, 3235372, 2203436, 2706233, 3030405
58, 3606529, 2870074, 2997084, 2547632, 2988526, 3383464
59, 3163540, 2826936, 3326119, 2382338, 3544169, 3422641
60, 3675735, 3454302, 2896040, 2959295, 3112825, 3479908
61, 2443972, 2243543, 1842649, 1733277, 2293214, 2091474
62, 2359773, 2079469, 2791392, 1788854, 2088294, 2444389
63, 2859942, 2688263, 1990115, 1694314, 2615487, 2914536
64, 2601025, 2395847, 2338458, 1737522, 2881718, 2549647
65, 2549553, 2174432, 2095953, 2185956, 2480305, 2773504
66, 2931212, 2506075, 2499078, 2079015, 2543485, 2932086
67, 2552198, 2378908, 2621016, 2036515, 3063405, 2950004
68, 2895154, 2308942, 2337379, 2173134, 2559677, 2546228
69, 3383296, 2551127, 2755051, 2398351, 3473262, 3355982
70, 2970607, 2366788, 2576532, 2144125, 2704861, 3164560
71, 3242294, 3076207, 2344964, 2326004, 3107080, 3622363
72, 3171988, 2860101, 3108436, 2393731, 2933790, 3313674
73, 3570984, 3767784, 3133076, 2180171, 3737575, 4021640
74, 3917517, 3371875, 2592417, 2303234, 3030659, 3014630
75, 3959552, 3171262, 3039723, 2313729, 3473760, 4176918
76, 3371706, 3084719, 3432952, 2915023, 3101111, 3332047
77, 4417947, 3892298, 3789362, 3020168, 4082969, 5133238
